,State,Year,Price per kilogram
0,Aguascalientes,2014,10.998914473684211
1,Aguascalientes,2015,10.825945945945946
2,Aguascalientes,2016,10.933733333333333
3,Aguascalientes,2017,11.003456375838926
4,Aguascalientes,2018,11.406920529801324
5,Aguascalientes,2019,12.203971631205674
6,Aguascalientes,2020,12.573048780487804
7,Aguascalientes,2021,13.28476821192053
8,Aguascalientes,2022,16.111866666666664
9,Aguascalientes,2023,17.554832214765103
10,Aguascalientes,2024,17.558333333333334
11,Baja California,2014,12.791699669966997
12,Baja California,2015,12.758834459459461
13,Baja California,2016,13.044383333333334
14,Baja California,2017,13.754664429530202
15,Baja California,2018,14.090314569536423
16,Baja California,2019,14.673322147651005
17,Baja California,2020,15.084741379310344
18,Baja California,2021,17.02694827586207
19,Baja California,2022,19.22088628762542
20,Baja California,2023,21.14271812080537
21,Baja California,2024,21.642770833333334
22,Baja California Sur,2014,12.032251655629139
23,Baja California Sur,2015,11.973243243243243
24,Baja California Sur,2016,12.723866666666666
25,Baja California Sur,2017,13.574261744966444
26,Baja California Sur,2018,13.876357615894038
27,Baja California Sur,2019,14.860469798657718
28,Baja California Sur,2020,15.461818181818181
29,Baja California Sur,2021,16.54294701986755
30,Baja California Sur,2022,18.418466666666667
31,Baja California Sur,2023,20.13936241610738
32,Baja California Sur,2024,20.153916666666664
33,Campeche,2014,11.943980263157895
34,Campeche,2015,11.948040540540541
35,Campeche,2016,12.812800000000001
36,Campeche,2017,13.37265100671141
37,Campeche,2018,13.698642384105959
38,Campeche,2019,14.483846153846153
39,Campeche,2020,15.401327433628317
40,Campeche,2021,15.207682119205298
41,Campeche,2022,16.275533333333332
42,Campeche,2023,18.718255033557046
43,Campeche,2024,19.118083333333335
44,Chiapas,2014,10.898261589403974
45,Chiapas,2015,10.907010135135135
46,Chiapas,2016,11.409133333333333
47,Chiapas,2017,11.805939597315437
48,Chiapas,2018,12.476639072847682
49,Chiapas,2019,12.706979865771812
50,Chiapas,2020,13.016865079365079
51,Chiapas,2021,14.31905629139073
52,Chiapas,2022,15.652933333333333
53,Chiapas,2023,17.558255033557046
54,Chiapas,2024,18.116229166666667
55,Chihuahua,2014,12.295709570957095
56,Chihuahua,2015,12.36
57,Chihuahua,2016,12.333350000000001
58,Chihuahua,2017,12.723020134228188
59,Chihuahua,2018,13.169950331125829
60,Chihuahua,2019,13.69263422818792
61,Chihuahua,2020,14.04002118644068
62,Chihuahua,2021,15.094652317880795
63,Chihuahua,2022,17.625933333333336
64,Chihuahua,2023,21.153741610738255
65,Chihuahua,2024,21.43583333333333
66,Coahuila,2014,11.467439293598234
67,Coahuila,2015,11.58936936936937
68,Coahuila,2016,12.303966666666666
