State,State,Year,Crime Types
175,Baja California,2015,Extorsión
176,Baja California,2015,Daño a la propiedad
177,Baja California,2015,Despojo
178,Baja California,2015,Otros delitos contra el patrimonio
179,Baja California,2015,Violencia familiar
180,Baja California,2015,Violencia de género en todas sus modalidades distinta a la violencia familiar
181,Baja California,2015,Incumplimiento de obligaciones de asistencia familiar
182,Baja California,2015,Otros delitos contra la familia
183,Baja California,2015,Corrupción de menores
184,Baja California,2015,Trata de personas
185,Baja California,2015,Otros delitos contra la sociedad
186,Baja California,2015,Narcomenudeo
187,Baja California,2015,Amenazas
188,Baja California,2015,Allanamiento de morada
189,Baja California,2015,Evasión de presos
190,Baja California,2015,Falsedad
191,Baja California,2015,Falsificación
192,Baja California,2015,Contra el medio ambiente
193,Baja California,2015,Delitos cometidos por servidores públicos
194,Baja California,2015,Electorales
195,Baja California,2015,Otros delitos del Fuero Común
196,Baja California Sur,2015,Homicidio
197,Baja California Sur,2015,Homicidio
198,Baja California Sur,2015,Homicidio
199,Baja California Sur,2015,Homicidio
200,Baja California Sur,2015,Homicidio
201,Baja California Sur,2015,Homicidio
202,Baja California Sur,2015,Homicidio
203,Baja California Sur,2015,Homicidio
204,Baja California Sur,2015,Homicidio
205,Baja California Sur,2015,Lesiones
206,Baja California Sur,2015,Lesiones
207,Baja California Sur,2015,Lesiones
208,Baja California Sur,2015,Lesiones
209,Baja California Sur,2015,Lesiones
210,Baja California Sur,2015,Lesiones
211,Baja California Sur,2015,Lesiones
212,Baja California Sur,2015,Lesiones
213,Baja California Sur,2015,Lesiones
214,Baja California Sur,2015,Feminicidio
215,Baja California Sur,2015,Feminicidio
216,Baja California Sur,2015,Feminicidio
217,Baja California Sur,2015,Feminicidio
218,Baja California Sur,2015,Aborto
219,Baja California Sur,2015,Otros delitos que atentan contra la vida y la integridad corporal
220,Baja California Sur,2015,Secuestro
221,Baja California Sur,2015,Secuestro
222,Baja California Sur,2015,Secuestro
223,Baja California Sur,2015,Secuestro
224,Baja California Sur,2015,Secuestro
225,Baja California Sur,2015,Tráfico de menores
226,Baja California Sur,2015,Rapto
227,Baja California Sur,2015,Otros delitos que atentan contra la libertad personal
228,Baja California Sur,2015,Abuso sexual
229,Baja California Sur,2015,Acoso sexual
230,Baja California Sur,2015,Hostigamiento sexual
231,Baja California Sur,2015,Violación simple
232,Baja California Sur,2015,Violación equiparada
233,Baja California Sur,2015,Incesto
234,Baja California Sur,2015,Otros delitos que atentan contra la libertad y la seguridad sexual
235,Baja California Sur,2015,Robo
236,Baja California Sur,2015,Robo
237,Baja California Sur,2015,Robo
238,Baja California Sur,2015,Robo
239,Baja California Sur,2015,Robo
240,Baja California Sur,2015,Robo
241,Baja California Sur,2015,Robo
242,Baja California Sur,2015,Robo
243,Baja California Sur,2015,Robo
244,Baja California Sur,2015,Robo
245,Baja California Sur,2015,Robo
246,Baja California Sur,2015,Robo
247,Baja California Sur,2015,Robo
248,Baja California Sur,2015,Robo
249,Baja California Sur,2015,Robo
250,Baja California Sur,2015,Robo
251,Baja California Sur,2015,Robo
252,Baja California Sur,2015,Robo
253,Baja California Sur,2015,Robo
254,Baja California Sur,2015,Robo
255,Baja California Sur,2015,Robo
256,Baja California Sur,2015,Robo
257,Baja California Sur,2015,Robo
258,Baja California Sur,2015,Robo
259,Baja California Sur,2015,Robo
260,Baja California Sur,2015,Robo
261,Baja California Sur,2015,Robo
262,Baja California Sur,2015,Robo
263,Baja California Sur,2015,Robo
264,Baja California Sur,2015,Robo
265,Baja California Sur,2015,Robo
266,Baja California Sur,2015,Robo
267,Baja California Sur,2015,Robo
268,Baja California Sur,2015,Robo
269,Baja California Sur,2015,Robo
270,Baja California Sur,2015,Robo
271,Baja California Sur,2015,Fraude
272,Baja California Sur,2015,Abuso de confianza
